received_at,dev_eui,device_name,application_id,f_port,f_cnt,temperature,humidity,battery,eco2,tvoc,rssi,snr,gateway_id
﻿id,received_at,dev_eui,device_name,temperature,humidity,battery,eco2,tvoc,rssi,snr,gateway_id
998,2026-05-02T09:03:55.892831000+00:00,dc87888964b32cea,Node1,35.8,57.79,3.628,0.0,0.0,-79,4.22,0016c001f156c3ab
2998,2026-05-02T09:03:38.062506000+00:00,dc87888964b32cec,AirNode2,28.01,37.26,3.748,1949.1,505.0,-78,6.92,0016c001f156c3ac
997,2026-05-02T08:59:57.453902000+00:00,dc87888964b32cea,Node1,35.08,57.34,3.628,0.0,0.0,-64,4.36,0016c001f156c3ab
2997,2026-05-02T08:59:54.198952000+00:00,dc87888964b32cec,AirNode2,27.87,36.65,3.748,1961.3,521.4,-78,4.73,0016c001f156c3ad
1997,2026-05-02T08:59:27.760954000+00:00,dc87888964b32ceb,AirNode1,33.0,70.56,3.74,621.9,69.8,-75,6.02,0016c001f156c3ad
2996,2026-05-02T08:55:40.242764000+00:00,dc87888964b32cec,AirNode2,27.98,35.17,3.749,1978.6,506.5,-73,4.63,0016c001f156c3ad
1996,2026-05-02T08:55:02.584501000+00:00,dc87888964b32ceb,AirNode1,31.85,70.07,3.74,634.8,59.9,-67,4.98,0016c001f156c3ab
996,2026-05-02T08:54:59.283111000+00:00,dc87888964b32cea,Node1,35.65,56.4,3.629,0.0,0.0,-72,4.07,0016c001f156c3ac
995,2026-05-02T08:51:02.302127000+00:00,dc87888964b32cea,Node1,35.32,55.99,3.629,0.0,0.0,-80,6.1,0016c001f156c3ad
1995,2026-05-02T08:51:01.245969000+00:00,dc87888964b32ceb,AirNode1,32.11,72.04,3.74,687.2,48.0,-83,6.95,0016c001f156c3ac
2995,2026-05-02T08:50:43.702519000+00:00,dc87888964b32cec,AirNode2,27.83,34.14,3.749,2054.2,506.0,-71,6.75,0016c001f156c3ac
994,2026-05-02T08:47:02.848220000+00:00,dc87888964b32cea,Node1,35.06,55.78,3.629,0.0,0.0,-85,6.62,0016c001f156c3ab
2994,2026-05-02T08:46:54.856441000+00:00,dc87888964b32cec,AirNode2,27.94,33.93,3.749,2058.2,546.2,-69,8.43,0016c001f156c3ad
1994,2026-05-02T08:46:25.001214000+00:00,dc87888964b32ceb,AirNode1,32.77,72.28,3.741,688.7,42.2,-77,9.3,0016c001f156c3ad
2993,2026-05-02T08:42:19.701953000+00:00,dc87888964b32cec,AirNode2,27.53,34.41,3.75,2090.8,526.4,-64,4.82,0016c001f156c3ac
993,2026-05-02T08:42:00.023935000+00:00,dc87888964b32cea,Node1,34.74,57.14,3.629,0.0,0.0,-79,4.44,0016c001f156c3ab
1993,2026-05-02T08:41:55.087825000+00:00,dc87888964b32ceb,AirNode1,33.19,71.85,3.741,717.4,40.2,-79,7.28,0016c001f156c3ad
992,2026-05-02T08:38:09.627637000+00:00,dc87888964b32cea,Node1,34.85,58.05,3.629,0.0,0.0,-65,5.33,0016c001f156c3ad
2992,2026-05-02T08:37:30.922848000+00:00,dc87888964b32cec,AirNode2,27.74,35.82,3.75,2133.7,507.3,-69,7.0,0016c001f156c3ad
1992,2026-05-02T08:37:29.593493000+00:00,dc87888964b32ceb,AirNode1,32.22,69.76,3.741,747.2,42.7,-79,8.47,0016c001f156c3ab
2991,2026-05-02T08:33:51.591001000+00:00,dc87888964b32cec,AirNode2,27.54,35.34,3.75,2092.5,523.1,-75,6.51,0016c001f156c3ac
991,2026-05-02T08:33:44.917775000+00:00,dc87888964b32cea,Node1,35.14,59.95,3.629,0.0,0.0,-66,6.83,0016c001f156c3ad
1991,2026-05-02T08:33:34.230325000+00:00,dc87888964b32ceb,AirNode1,32.14,70.23,3.742,772.9,38.2,-79,4.67,0016c001f156c3ab
1990,2026-05-02T08:29:10.680665000+00:00,dc87888964b32ceb,AirNode1,32.25,70.25,3.742,840.3,32.7,-79,6.14,0016c001f156c3ac
2990,2026-05-02T08:29:03.226332000+00:00,dc87888964b32cec,AirNode2,27.11,34.83,3.75,2113.5,526.4,-70,5.07,0016c001f156c3ad
990,2026-05-02T08:28:51.528066000+00:00,dc87888964b32cea,Node1,34.72,61.35,3.63,0.0,0.0,-77,6.64,0016c001f156c3ac
2989,2026-05-02T08:25:24.262979000+00:00,dc87888964b32cec,AirNode2,26.68,33.85,3.751,2117.5,503.1,-78,5.94,0016c001f156c3ad
989,2026-05-02T08:25:17.595112000+00:00,dc87888964b32cea,Node1,34.31,61.64,3.63,0.0,0.0,-80,8.18,0016c001f156c3ad
1989,2026-05-02T08:24:36.713577000+00:00,dc87888964b32ceb,AirNode1,32.41,70.11,3.742,879.4,19.0,-82,6.04,0016c001f156c3ad
988,2026-05-02T08:20:52.041928000+00:00,dc87888964b32cea,Node1,34.99,61.0,3.63,0.0,0.0,-71,4.95,0016c001f156c3ab
1988,2026-05-02T08:20:50.754426000+00:00,dc87888964b32ceb,AirNode1,32.11,71.12,3.743,794.9,11.9,-71,4.24,0016c001f156c3ab
2988,2026-05-02T08:20:46.290806000+00:00,dc87888964b32cec,AirNode2,26.66,34.41,3.751,2180.9,525.5,-68,7.81,0016c001f156c3ac
2987,2026-05-02T08:16:12.338405000+00:00,dc87888964b32cec,AirNode2,26.72,33.47,3.751,2224.4,518.9,-71,6.49,0016c001f156c3ad
1987,2026-05-02T08:16:07.220767000+00:00,dc87888964b32ceb,AirNode1,32.42,71.03,3.743,777.2,12.8,-75,6.74,0016c001f156c3ab
987,2026-05-02T08:16:00.864805000+00:00,dc87888964b32cea,Node1,35.01,62.34,3.631,0.0,0.0,-76,6.1,0016c001f156c3ad
1986,2026-05-02T08:12:19.104391000+00:00,dc87888964b32ceb,AirNode1,32.25,70.85,3.743,801.2,20.0,-80,5.26,0016c001f156c3ac
2986,2026-05-02T08:12:00.333770000+00:00,dc87888964b32cec,AirNode2,25.95,34.67,3.751,2222.2,508.1,-82,7.94,0016c001f156c3ad
986,2026-05-02T08:11:46.973571000+00:00,dc87888964b32cea,Node1,34.25,60.7,3.631,0.0,0.0,-80,5.66,0016c001f156c3ad
2985,2026-05-02T08:07:50.300853000+00:00,dc87888964b32cec,AirNode2,25.18,33.81,3.752,2249.8,511.2,-76,6.2,0016c001f156c3ab
1985,2026-05-02T08:07:22.930767000+00:00,dc87888964b32ceb,AirNode1,31.83,72.16,3.744,807.2,14.3,-88,4.89,0016c001f156c3ad
985,2026-05-02T08:07:12.323523000+00:00,dc87888964b32cea,Node1,34.04,62.61,3.631,0.0,0.0,-75,7.03,0016c001f156c3ad
984,2026-05-02T08:03:31.988515000+00:00,dc87888964b32cea,Node1,34.21,62.37,3.631,0.0,0.0,-77,7.48,0016c001f156c3ab
2984,2026-05-02T08:03:16.208546000+00:00,dc87888964b32cec,AirNode2,24.61,34.63,3.752,2247.7,541.1,-76,7.55,0016c001f156c3ac
1984,2026-05-02T08:02:54.790936000+00:00,dc87888964b32ceb,AirNode1,31.97,71.55,3.744,786.2,17.9,-73,6.41,0016c001f156c3ad
1983,2026-05-02T07:59:21.411588000+00:00,dc87888964b32ceb,AirNode1,31.7,70.9,3.744,738.2,34.7,-73,6.42,0016c001f156c3ac
983,2026-05-02T07:58:56.130934000+00:00,dc87888964b32cea,Node1,33.74,61.71,3.632,0.0,0.0,-82,4.64,0016c001f156c3ac
2983,2026-05-02T07:58:42.525747000+00:00,dc87888964b32cec,AirNode2,24.27,35.74,3.752,2332.8,543.4,-75,6.86,0016c001f156c3ac
2982,2026-05-02T07:54:56.295208000+00:00,dc87888964b32cec,AirNode2,24.34,36.85,3.752,2312.9,556.8,-67,5.56,0016c001f156c3ad
982,2026-05-02T07:54:53.730017000+00:00,dc87888964b32cea,Node1,33.58,62.35,3.632,0.0,0.0,-71,5.72,0016c001f156c3ac
1982,2026-05-02T07:54:39.149963000+00:00,dc87888964b32ceb,AirNode1,31.25,71.65,3.744,783.5,38.4,-80,4.2,0016c001f156c3ac
2981,2026-05-02T07:50:53.455162000+00:00,dc87888964b32cec,AirNode2,24.65,37.13,3.753,2370.9,564.7,-71,9.67,0016c001f156c3ab
981,2026-05-02T07:50:33.266609000+00:00,dc87888964b32cea,Node1,33.31,62.24,3.632,0.0,0.0,-85,4.96,0016c001f156c3ac
1981,2026-05-02T07:49:59.538469000+00:00,dc87888964b32ceb,AirNode1,31.44,70.06,3.745,729.1,15.9,-73,6.46,0016c001f156c3ac
980,2026-05-02T07:46:02.911337000+00:00,dc87888964b32cea,Node1,32.33,62.34,3.632,0.0,0.0,-76,4.8,0016c001f156c3ab
1980,2026-05-02T07:45:54.306815000+00:00,dc87888964b32ceb,AirNode1,31.64,71.38,3.745,796.5,0.0,-82,6.06,0016c001f156c3ac
2980,2026-05-02T07:45:48.349079000+00:00,dc87888964b32cec,AirNode2,24.39,36.8,3.753,2402.4,575.1,-78,7.66,0016c001f156c3ab
979,2026-05-02T07:42:03.313744000+00:00,dc87888964b32cea,Node1,32.1,62.77,3.632,0.0,0.0,-81,4.49,0016c001f156c3ad
2979,2026-05-02T07:42:03.167007000+00:00,dc87888964b32cec,AirNode2,24.83,36.12,3.753,2433.5,593.1,-74,7.5,0016c001f156c3ab
1979,2026-05-02T07:41:45.995282000+00:00,dc87888964b32ceb,AirNode1,31.66,72.67,3.745,876.5,0.0,-75,4.32,0016c001f156c3ad
1978,2026-05-02T07:37:55.877459000+00:00,dc87888964b32ceb,AirNode1,30.86,73.69,3.745,842.0,0.0,-69,5.39,0016c001f156c3ab
978,2026-05-02T07:37:35.803905000+00:00,dc87888964b32cea,Node1,32.68,62.85,3.633,0.0,0.0,-72,4.85,0016c001f156c3ac
2978,2026-05-02T07:37:28.224483000+00:00,dc87888964b32cec,AirNode2,24.34,35.98,3.753,2443.6,576.2,-81,4.32,0016c001f156c3ac
977,2026-05-02T07:33:31.230225000+00:00,dc87888964b32cea,Node1,33.09,63.94,3.633,0.0,0.0,-70,6.88,0016c001f156c3ad
2977,2026-05-02T07:32:54.022598000+00:00,dc87888964b32cec,AirNode2,23.73,36.43,3.754,2418.2,588.8,-73,4.19,0016c001f156c3ac
1977,2026-05-02T07:32:50.457752000+00:00,dc87888964b32ceb,AirNode1,30.99,73.88,3.745,806.0,0.0,-76,6.97,0016c001f156c3ad
976,2026-05-02T07:29:08.055524000+00:00,dc87888964b32cea,Node1,33.01,62.66,3.633,0.0,0.0,-76,5.16,0016c001f156c3ad
1976,2026-05-02T07:29:00.408513000+00:00,dc87888964b32ceb,AirNode1,30.86,74.78,3.746,766.3,9.2,-81,4.64,0016c001f156c3ac
2976,2026-05-02T07:28:31.830404000+00:00,dc87888964b32cec,AirNode2,23.34,36.12,3.754,2412.2,600.0,-70,6.82,0016c001f156c3ad
975,2026-05-02T07:24:55.856386000+00:00,dc87888964b32cea,Node1,32.88,62.0,3.633,0.0,0.0,-73,5.88,0016c001f156c3ac
1975,2026-05-02T07:24:36.371565000+00:00,dc87888964b32ceb,AirNode1,30.13,73.87,3.746,665.9,15.9,-70,9.08,0016c001f156c3ad
2975,2026-05-02T07:24:22.537751000+00:00,dc87888964b32cec,AirNode2,22.46,35.95,3.754,2412.2,600.0,-73,4.43,0016c001f156c3ac
974,2026-05-02T07:19:43.660738000+00:00,dc87888964b32cea,Node1,32.78,63.73,3.633,0.0,0.0,-76,4.84,0016c001f156c3ad
1974,2026-05-02T07:19:43.303733000+00:00,dc87888964b32ceb,AirNode1,30.09,74.04,3.746,634.5,12.5,-80,2.61,0016c001f156c3ab
2974,2026-05-02T07:19:42.953737000+00:00,dc87888964b32cec,AirNode2,22.03,35.7,3.755,2393.0,598.9,-66,5.19,0016c001f156c3ad
1973,2026-05-02T07:16:12.870191000+00:00,dc87888964b32ceb,AirNode1,30.0,74.14,3.746,671.9,0.0,-74,7.32,0016c001f156c3ac
973,2026-05-02T07:15:53.396310000+00:00,dc87888964b32cea,Node1,32.58,64.07,3.634,0.0,0.0,-71,5.4,0016c001f156c3ad
2973,2026-05-02T07:15:27.549914000+00:00,dc87888964b32cec,AirNode2,22.35,35.74,3.755,2356.4,592.8,-72,7.01,0016c001f156c3ab
2972,2026-05-02T07:11:53.633871000+00:00,dc87888964b32cec,AirNode2,23.03,36.42,3.755,2320.1,591.5,-74,6.66,0016c001f156c3ab
1972,2026-05-02T07:11:33.352928000+00:00,dc87888964b32ceb,AirNode1,30.34,72.14,3.747,758.6,5.0,-74,6.34,0016c001f156c3ad
972,2026-05-02T07:11:26.868432000+00:00,dc87888964b32cea,Node1,32.57,64.02,3.634,0.0,0.0,-65,5.38,0016c001f156c3ab
2971,2026-05-02T07:07:07.634157000+00:00,dc87888964b32cec,AirNode2,23.08,36.98,3.756,2271.1,600.0,-73,5.54,0016c001f156c3ad
971,2026-05-02T07:07:03.210304000+00:00,dc87888964b32cea,Node1,32.41,62.94,3.634,0.0,0.0,-75,3.64,0016c001f156c3ac
1971,2026-05-02T07:06:46.027965000+00:00,dc87888964b32ceb,AirNode1,29.32,73.29,3.747,789.2,15.0,-70,5.6,0016c001f156c3ad
2970,2026-05-02T07:03:20.049690000+00:00,dc87888964b32cec,AirNode2,22.59,36.71,3.756,2314.1,600.0,-75,4.16,0016c001f156c3ab
970,2026-05-02T07:03:17.035216000+00:00,dc87888964b32cea,Node1,32.09,61.85,3.635,0.0,0.0,-64,2.22,0016c001f156c3ad
1970,2026-05-02T07:03:15.932360000+00:00,dc87888964b32ceb,AirNode1,28.7,73.14,3.747,775.2,3.7,-73,6.58,0016c001f156c3ab
2969,2026-05-02T06:58:58.669340000+00:00,dc87888964b32cec,AirNode2,22.12,37.44,3.756,2286.4,600.0,-74,4.65,0016c001f156c3ad
1969,2026-05-02T06:58:50.106954000+00:00,dc87888964b32ceb,AirNode1,28.6,71.22,3.748,743.6,0.0,-74,3.49,0016c001f156c3ac
969,2026-05-02T06:58:08.380218000+00:00,dc87888964b32cea,Node1,31.52,63.17,3.635,0.0,0.0,-78,6.57,0016c001f156c3ad
1968,2026-05-02T06:54:32.797219000+00:00,dc87888964b32ceb,AirNode1,28.26,72.14,3.748,755.1,10.9,-76,5.63,0016c001f156c3ab
968,2026-05-02T06:54:12.566569000+00:00,dc87888964b32cea,Node1,31.61,63.67,3.635,0.0,0.0,-67,2.36,0016c001f156c3ad
2968,2026-05-02T06:53:49.691193000+00:00,dc87888964b32cec,AirNode2,22.09,39.71,3.757,2238.4,600.0,-75,5.96,0016c001f156c3ac
2967,2026-05-02T06:50:15.998067000+00:00,dc87888964b32cec,AirNode2,22.1,40.32,3.757,2219.7,594.3,-70,8.14,0016c001f156c3ab
1967,2026-05-02T06:50:09.841294000+00:00,dc87888964b32ceb,AirNode1,28.06,71.28,3.748,690.2,0.0,-75,3.39,0016c001f156c3ab
967,2026-05-02T06:49:52.200940000+00:00,dc87888964b32cea,Node1,31.44,64.23,3.635,0.0,0.0,-71,3.17,0016c001f156c3ac
2966,2026-05-02T06:45:24.570980000+00:00,dc87888964b32cec,AirNode2,21.95,40.81,3.757,2228.6,564.3,-84,6.63,0016c001f156c3ac
1966,2026-05-02T06:45:17.624314000+00:00,dc87888964b32ceb,AirNode1,27.49,70.09,3.748,662.8,12.6,-79,5.39,0016c001f156c3ac
966,2026-05-02T06:45:10.290365000+00:00,dc87888964b32cea,Node1,31.31,63.39,3.635,0.0,0.0,-63,5.13,0016c001f156c3ad
965,2026-05-02T06:41:43.383593000+00:00,dc87888964b32cea,Node1,31.39,63.64,3.635,0.0,0.0,-66,7.54,0016c001f156c3ab
2965,2026-05-02T06:41:05.019030000+00:00,dc87888964b32cec,AirNode2,22.45,39.4,3.758,2182.0,560.7,-85,4.85,0016c001f156c3ad
1965,2026-05-02T06:40:56.205322000+00:00,dc87888964b32ceb,AirNode1,27.44,69.37,3.749,576.4,6.2,-76,6.8,0016c001f156c3ad
2964,2026-05-02T06:37:24.445682000+00:00,dc87888964b32cec,AirNode2,22.31,36.43,3.758,2221.4,571.8,-82,6.0,0016c001f156c3ac
964,2026-05-02T06:37:17.309221000+00:00,dc87888964b32cea,Node1,31.43,63.61,3.636,0.0,0.0,-80,6.5,0016c001f156c3ad
1964,2026-05-02T06:36:56.383824000+00:00,dc87888964b32ceb,AirNode1,27.2,68.33,3.749,568.4,29.6,-81,8.25,0016c001f156c3ac
2963,2026-05-02T06:32:53.696303000+00:00,dc87888964b32cec,AirNode2,22.63,36.33,3.758,2198.9,564.3,-76,3.26,0016c001f156c3ad
963,2026-05-02T06:32:42.314212000+00:00,dc87888964b32cea,Node1,31.85,64.47,3.636,0.0,0.0,-77,7.26,0016c001f156c3ab
1963,2026-05-02T06:32:31.556508000+00:00,dc87888964b32ceb,AirNode1,27.23,68.65,3.749,585.0,11.3,-78,5.6,0016c001f156c3ad
1962,2026-05-02T06:28:34.772395000+00:00,dc87888964b32ceb,AirNode1,27.46,68.17,3.75,560.3,22.3,-72,6.49,0016c001f156c3ab
2962,2026-05-02T06:28:28.154667000+00:00,dc87888964b32cec,AirNode2,22.71,37.1,3.758,2195.2,533.3,-76,7.97,0016c001f156c3ad
962,2026-05-02T06:27:54.186955000+00:00,dc87888964b32cea,Node1,31.63,64.02,3.636,0.0,0.0,-82,5.45,0016c001f156c3ac
961,2026-05-02T06:24:21.313256000+00:00,dc87888964b32cea,Node1,31.67,61.94,3.637,0.0,0.0,-71,5.93,0016c001f156c3ab
1961,2026-05-02T06:24:16.127357000+00:00,dc87888964b32ceb,AirNode1,27.48,69.4,3.75,545.3,0.7,-74,6.06,0016c001f156c3ac
2961,2026-05-02T06:23:44.924269000+00:00,dc87888964b32cec,AirNode2,22.45,37.7,3.759,2178.2,519.7,-73,6.66,0016c001f156c3ab
2960,2026-05-02T06:19:37.689893000+00:00,dc87888964b32cec,AirNode2,21.52,38.44,3.759,2234.8,513.3,-73,6.13,0016c001f156c3ab
1960,2026-05-02T06:19:25.265433000+00:00,dc87888964b32ceb,AirNode1,27.26,69.97,3.751,524.0,0.0,-78,5.36,0016c001f156c3ad
960,2026-05-02T06:19:12.839406000+00:00,dc87888964b32cea,Node1,31.21,61.09,3.637,0.0,0.0,-76,5.14,0016c001f156c3ab
959,2026-05-02T06:15:44.392738000+00:00,dc87888964b32cea,Node1,30.89,62.11,3.637,0.0,0.0,-71,5.61,0016c001f156c3ab
1959,2026-05-02T06:15:30.236115000+00:00,dc87888964b32ceb,AirNode1,26.9,69.94,3.751,481.7,0.0,-69,4.4,0016c001f156c3ad
2959,2026-05-02T06:15:25.595997000+00:00,dc87888964b32cec,AirNode2,21.54,40.26,3.759,2190.2,513.3,-81,3.51,0016c001f156c3ac
2958,2026-05-02T06:11:07.438164000+00:00,dc87888964b32cec,AirNode2,21.74,40.47,3.759,2159.8,516.8,-67,5.82,0016c001f156c3ad
958,2026-05-02T06:11:01.795493000+00:00,dc87888964b32cea,Node1,30.86,63.04,3.637,0.0,0.0,-80,9.06,0016c001f156c3ab
1958,2026-05-02T06:10:49.927583000+00:00,dc87888964b32ceb,AirNode1,26.35,71.0,3.751,439.4,0.0,-74,6.73,0016c001f156c3ac
1957,2026-05-02T06:06:58.824129000+00:00,dc87888964b32ceb,AirNode1,27.04,71.52,3.751,463.4,7.8,-73,6.82,0016c001f156c3ad
957,2026-05-02T06:06:56.685470000+00:00,dc87888964b32cea,Node1,30.49,63.2,3.637,0.0,0.0,-82,6.99,0016c001f156c3ab
2957,2026-05-02T06:06:47.476016000+00:00,dc87888964b32cec,AirNode2,21.63,41.75,3.759,2218.1,540.2,-75,6.93,0016c001f156c3ab
956,2026-05-02T06:02:41.943166000+00:00,dc87888964b32cea,Node1,30.93,60.41,3.638,0.0,0.0,-66,6.82,0016c001f156c3ad
1956,2026-05-02T06:02:37.639967000+00:00,dc87888964b32ceb,AirNode1,27.17,72.39,3.751,446.0,14.4,-76,5.08,0016c001f156c3ab
2956,2026-05-02T06:02:16.556119000+00:00,dc87888964b32cec,AirNode2,21.5,42.15,3.759,2219.9,528.5,-81,5.61,0016c001f156c3ac
1955,2026-05-02T05:58:22.994867000+00:00,dc87888964b32ceb,AirNode1,27.31,72.91,3.752,409.2,0.3,-73,6.68,0016c001f156c3ac
2955,2026-05-02T05:58:02.776198000+00:00,dc87888964b32cec,AirNode2,21.26,42.44,3.76,2225.1,536.2,-73,4.98,0016c001f156c3ab
955,2026-05-02T05:57:40.048417000+00:00,dc87888964b32cea,Node1,31.37,62.04,3.638,0.0,0.0,-85,4.18,0016c001f156c3ad
2954,2026-05-02T05:54:02.658071000+00:00,dc87888964b32cec,AirNode2,20.56,42.19,3.76,2193.2,523.9,-75,8.97,0016c001f156c3ad
954,2026-05-02T05:53:48.334833000+00:00,dc87888964b32cea,Node1,31.18,61.21,3.638,0.0,0.0,-81,7.76,0016c001f156c3ab
1954,2026-05-02T05:53:43.306315000+00:00,dc87888964b32ceb,AirNode1,27.75,72.85,3.752,418.6,0.0,-78,6.42,0016c001f156c3ab
1953,2026-05-02T05:49:46.065642000+00:00,dc87888964b32ceb,AirNode1,28.02,73.83,3.752,400.0,4.9,-76,7.47,0016c001f156c3ad
953,2026-05-02T05:49:42.668340000+00:00,dc87888964b32cea,Node1,30.86,60.69,3.638,0.0,0.0,-74,4.17,0016c001f156c3ac
2953,2026-05-02T05:49:15.941197000+00:00,dc87888964b32cec,AirNode2,20.74,42.34,3.761,2185.3,548.3,-73,4.95,0016c001f156c3ab
1952,2026-05-02T05:45:13.177962000+00:00,dc87888964b32ceb,AirNode1,28.02,73.9,3.752,435.3,0.0,-80,8.03,0016c001f156c3ad
952,2026-05-02T05:44:44.693131000+00:00,dc87888964b32cea,Node1,30.67,60.3,3.638,0.0,0.0,-78,6.5,0016c001f156c3ab
2952,2026-05-02T05:44:38.867109000+00:00,dc87888964b32cec,AirNode2,20.61,43.87,3.761,2179.9,562.4,-70,6.34,0016c001f156c3ad
